Code,Netflix_Tag,Tags
https://www.netflix.com/title/81006261,"""Anime""",beast
https://www.netflix.com/title/81006261,"""Anime""",sealed
https://www.netflix.com/title/81006261,"""Anime""",sky
https://www.netflix.com/title/81006261,"""Anime""",people
https://www.netflix.com/title/81006261,"""Anime""",powerful
https://www.netflix.com/title/81006261,"""Anime""",group
https://www.netflix.com/title/81006261,"""Anime""",demons
https://www.netflix.com/title/81006261,"""Anime""",hellbent
https://www.netflix.com/title/81006261,"""Anime""",resurrecting
https://www.netflix.com/title/81006261,"""Anime""",3
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",handpicked
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",noble
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",fighters
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",faces
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",fantastical
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",combat
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",tournament
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",.
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",evil
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",emperor
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",team
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",save
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",planet
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",minions
https://www.netflix.com/title/773843,"""Action Sci-Fi & Fantasy""",deadly
https://www.netflix.com/title/60024918,"""Action Thrillers""",world
https://www.netflix.com/title/60024918,"""Action Thrillers""",literally
https://www.netflix.com/title/60024918,"""Action Thrillers""",falls
https://www.netflix.com/title/60024918,"""Action Thrillers""",apart
https://www.netflix.com/title/60024918,"""Action Thrillers""",.
https://www.netflix.com/title/60024918,"""Action Thrillers""",scientist
https://www.netflix.com/title/60024918,"""Action Thrillers""",josh
https://www.netflix.com/title/60024918,"""Action Thrillers""",keyes
https://www.netflix.com/title/60024918,"""Action Thrillers""",must
https://www.netflix.com/title/60024918,"""Action Thrillers""",discover
https://www.netflix.com/title/60024918,"""Action Thrillers""",stopped
https://www.netflix.com/title/60024918,"""Action Thrillers""",spinning
https://www.netflix.com/title/60024918,"""Action Thrillers""",inner
https://www.netflix.com/title/60024918,"""Action Thrillers""",core
https://www.netflix.com/title/60024918,"""Action Thrillers""",earth
https://www.netflix.com/title/60024918,"""Action Thrillers""",'
https://www.netflix.com/title/60024918,"""Action Thrillers""",--
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",extraterrestrial
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",force
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",begins
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",exterminating
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",earth
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",'
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",family
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",man
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",faces
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",worst
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",nightmare
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",inhabitants
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",.
https://www.netflix.com/title/80236421,"""Alien Sci-Fi""",alien
